"ASV";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV283";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Alcaligenes"
"ASV284";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella"
"ASV287";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"BIrii41";NA
"ASV290";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"[Eubacterium] coprostanoligenes group";NA
"ASV291";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Amb-16S-1323";NA
"ASV294";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"SC-I-84";NA
"ASV295";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micromonosporales";"Micromonosporaceae";"Virgisporangium"
"ASV296";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"ASV297";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Ilumatobacteraceae";NA
"ASV298";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus"
"ASV299";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA
"ASV300";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Vibrionaceae";NA
"ASV304";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"[Ruminococcus] gauvreauii group"
"ASV305";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Brevibacteriaceae";"Brevibacterium"
"ASV306";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella"
"ASV308";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Duganella"
"ASV309";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Isobaculum"
"ASV310";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Paracoccus"
"ASV311";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"Vicinamibacteraceae";NA
"ASV314";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Arenimonas"
"ASV318";"Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"JG30-KF-CM45";NA
"ASV319";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Arenimonas"
"ASV323";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";NA
"ASV326";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiales Incertae Sedis";"Nordella"
"ASV328";"Bacteria";"Chloroflexi";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";NA
"ASV329";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";NA
"ASV331";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Steroidobacterales";"Woeseiaceae";"Woeseia"
"ASV333";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";NA
"ASV334";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";NA
"ASV336";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Weeksellaceae";"Empedobacter"
"ASV337";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Microvirga"
"ASV338";"Bacteria";"Planctomycetota";"Brocadiae";"Brocadiales";"Brocadiaceae";"Candidatus Brocadia"
"ASV339";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium-Methylorubrum"
"ASV340";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"ASV342";"Bacteria";"Planctomycetota";"Brocadiae";"Brocadiales";"Brocadiaceae";"Candidatus Brocadia"
"ASV344";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Nakamurellaceae";"Nakamurella"
"ASV345";"Bacteria";"Hydrogenedentes";"Hydrogenedentia";"Hydrogenedentiales";"Hydrogenedensaceae";NA
"ASV346";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";NA
"ASV352";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Marinobacteraceae";"Marinobacter"
"ASV353";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"Vicinamibacteraceae";NA
"ASV354";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Alcanivoracaceae1";"Alcanivorax"
"ASV355";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Iamiaceae";"Iamia"
"ASV360";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Corynebacteriaceae";NA
"ASV361";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Paenalcaligenes"
"ASV362";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus"
"ASV363";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Parabacteroides"
"ASV365";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Ralstonia"
"ASV370";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Rhodocyclaceae";NA
"ASV371";"Bacteria";"Firmicutes";"Clostridia";"Lachnospirales";"Lachnospiraceae";"Lachnospiraceae NK4A136 group"
"ASV374";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";"Gemmatimonas"
"ASV376";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"Vicinamibacteraceae";"Vicinamibacter"
"ASV383";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Gallionellaceae";"Gallionella"
"ASV389";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingobium"
"ASV393";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella"
"ASV394";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Sutterellaceae";"Parasutterella"
"ASV395";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Cryptosporangiaceae";"Cryptosporangium"
"ASV397";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Muribaculaceae";NA
"ASV399";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus"
"ASV400";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"ASV401";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Brevundimonas"
"ASV402";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Psychrobacter"
"ASV408";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"SC-I-84";NA
"ASV410";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"Bradyrhizobium"
