SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
LN125.1;ASV85;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
LN125.1;ASV86;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
LN125.1;ASV87;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
LN125.1;ASV90;1;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
LN125.1;ASV92;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
LN125.1;ASV95;1;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter
LN125.1;ASV98;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;
LN125.1;ASV99;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
LN125.1;ASV100;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lapidilactobacillus
LN125.1;ASV103;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
LN125.1;ASV106;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
LN125.1;ASV109;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium
LN125.1;ASV111;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
LN125.1;ASV115;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1;Alcanivorax
LN125.1;ASV117;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
LN125.1;ASV120;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella
LN125.1;ASV124;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus
LN125.1;ASV128;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Tepidiphilus
LN125.1;ASV129;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum
LN125.1;ASV130;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
LN125.1;ASV132;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
LN125.1;ASV134;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;
LN125.1;ASV137;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
LN125.1;ASV146;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
LN125.1;ASV147;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
LN125.1;ASV148;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium
LN125.1;ASV153;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
LN125.1;ASV155;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas
LN125.1;ASV159;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;
LN125.1;ASV160;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
LN125.1;ASV162;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
LN125.1;ASV164;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1;Alcanivorax
LN125.1;ASV165;0;LN125;larvae;sorb-;1.25;1;Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;
LN125.1;ASV172;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas
LN125.1;ASV173;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Isobaculum
LN125.1;ASV174;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter
LN125.1;ASV175;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
LN125.1;ASV176;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium
LN125.1;ASV178;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia
LN125.1;ASV182;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Alteromonas
LN125.1;ASV183;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
LN125.1;ASV185;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus
